Tool 1 ,Tool 2 ,Tool 3 ,Combination,Node,Colour,Type,Sensitivity,Precision ,,,,,,
LoFreq,,,,LoFreq,#E64B35FF,Indi,0.6513,0.5767,,,,,,
SomVarIUS,,,,SomVarIUS,#4DBBD5FF,Indi,0.001,0.0019,,,,,,
Strelka2,,,,Strelka2,#00A087FF,Indi,0.7578,0.164,,,,,,
Shimmer,,,,Shimmer,#3C5488FF,Indi,0.4065,0.0292,,,,,,
Virmid,,,,Virmid,#F39B7FFF,Indi,0.6644,0.3856,,,,,,
Mutect2,,,,Mutect2,#7E6148FF,Indi,0.7204,0.0277,,,,,,
Streka2,Virmid ,Mutect2,126,BestSens1,#A9A9A9,Combi,0.8139,0.0282,,,,,,
Strelka2,Shimmer,Mutect2,126,BestSens2,#A9A9A9,Combi,0.8134,0.02,,,,,,
SomVarIUS ,Strelka2,Mutect2,126,BestSens3,#A9A9A9,Combi,0.8118,0.0275,,,,,,
LoFreq ,SomVarIUS ,Shimmer ,0,BestPrec1,#DCDCDC,Combi,0.0001,0.99055,,,,,,
LoFreq ,Shimmer ,Mutect2,0,BestPrec2,#DCDCDC,Combi,0.3325,0.9778,,,,,,
LoFreq ,Shimmer ,Virmid ,0,BestPrec3,#DCDCDC,Combi,0.3475,0.965,,,,,,
"Combination""11""",,,0,BestF11,#696969,Combi,0.5757,0.8922,,,,,,
"Combination""13""",,,6,BestF12,#696969,Combi,0.6193,0.8563,,,,,,
"Combination""10""",,,3,BestF13,#696969,Combi,0.566,0.8834,,,,,,
LR_strelka_all,,,LRSA,LR_strelka_all,#0D952C,Indi,0.71090,0.73881
LR_lofreq_all,,,LRFA,LR_lofreq_all,#0D952C,Indi,0.52044,0.91042
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,